例词id,例词,读音,用法id,词性,词义,例句id,例句,出处,释义,合集
gzss18,方,,1,名词,方位，地方，方向,1,有朋自远方来，不亦乐乎？,《论语》,有志同道合的朋友从远处的地方过来（共同研究学习），不也快乐吗？,高考实词合集
gzss18,方,,2,名词,见识广博者,1,吾常见笑于大方之家,《庄子》,我会一直被见识广博的人讥笑,高考实词合集
gzss18,方,,3,名词,方法，道理,1,可使有勇，且知方也,《子路、曾皙、冉有、公西华侍坐》,可以让他的百姓勇敢起来，而且懂得道理,高考实词合集
gzss18,方,,4,名词,方圆，见方,1,方七百里，高万仭,《愚公移山》,方圆七百里，高七八千丈,高考实词合集
gzss18,方,,5,名词,处方，药方,1,有问病者，女不能自为方,《口技》,有来询问想治病的人，女人说不可以自己开处方,高考实词合集
gzss18,方,,6,形容词,方形的,1,石苍黑色，多平方，少圆,《登泰山记》,山石都呈青黑色，大多是平的、方形的，少数是圆的,高考实词合集
gzss18,方,,7,副词,正，正在,1,前途似海，来日方长,《少年中国说》,前途就像大海一样宽广，未来的岁月正长,高考实词合集
gzss18,方,,8,副词,刚刚，方才,1,庑下一生伏案卧，文方成草,《左忠毅公逸事》,厢房下一个书生伏在桌上睡着了，（桌上的）文章刚刚写好草稿,高考实词合集
gzss19,负,,1,动词,背，驼，以背载物,1,廉颇闻之，肉袒负荆,《廉颇蔺相如列传》,廉颇听说了这些话，就（脱去上衣）露出上身，背着荆条,高考实词合集
gzss19,负,,2,动词,承担，担负,1,使负栋之柱，多于南亩之农夫,《阿房宫赋》,（秦王如此浪费），致使承担栋梁的柱子，比田里的农夫还多,高考实词合集
gzss19,负,,3,动词,对不起，辜负,1,吾上恐负朝廷，下恐愧吾师也,《左忠毅公逸事》,我对上怕辜负了朝廷，对下怕对不起我的老师啊,高考实词合集
gzss19,负,,4,动词,违背，背弃,1,相如度秦王虽斋，决负约不偿城,《廉颇蔺相如列传》,蔺相如估计秦王虽说答应斋戒，但一定会违背誓约不把城池给赵国,高考实词合集
gzss19,负,,5,动词,蒙受,1,不明不暗，负屈衔冤,《窦娥冤》,（我）糊里糊涂地，蒙受了这等冤屈,高考实词合集
gzss19,负,,6,动词,失败,1,故不战而强弱胜负已判矣,《六国论》,所以不战争但是双方的强弱、胜负已经被判定了,高考实词合集
